title,category,domain,description,more_info,recommended_action,link,apis
Enhanced Health Reporting,ElasticBeanstalk,Application Integration,Ensure that Amazon Elastic Beanstalk (EB) environments have enhanced health reporting feature enabled.,Enhanced health reporting is a feature that you can enable on your environment to allow AWS Elastic Beanstalk to gather additiona,Modify Elastic Beanstalk environmentsand enable enhanced health reporting.,https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/health-enhanced.html,'ElasticBeanstalk:describeEnvironments'
Environment Persistent Logs,"Go to specific environment, select Configuration, edit Software category, and enable Log streaming",Application Integration,Ensure that AWS Elastic Beanstalk environment logs are retained and saved on S3.,"Elastic Beanstalk environment logs should be retained in order to keep the logging data for future audits, historical purposes or to track and analyze the EB application environment behavior for a long period of time.","Go to specific environment, select Configuration, edit Software category, and enable Log streaming",https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/AWSHowTo.cloudwatchlogs.html,"'ElasticBeanstalk:describeEnvironments', 'ElasticBeanstalk:describeConfigurationSettings'"
Neptune Database Instance Encrypted,Neptune,Databases,Ensure that your AWS Neptune database instances are encrypted with KMS Customer Master Keys (CMKs) instead of AWS managed-keys.,Neptune encrypted instances provide an additional layer of data protection by helping to secure your data from unauthorized access to the underlying storage. ',Encrypt Neptune database with desired encryption level,https://docs.aws.amazon.com/neptune/latest/userguide/encrypt.html,"'Neptune:describeDBClusters', 'KMS:listKeys', 'KMS:describeKey'"
PrivateLink in Use for Transfer for SFTP Server Endpoints,Transfer,Content Delivery,Ensure that AWS Transfer for SFTP server endpoints are configured to use VPC endpoints powered by AWS PrivateLink.,PrivateLink provides secure and private connectivity between VPCs and other AWS resources using a dedicated network.,Configure the SFTP server endpoints to use endpoints powered by PrivateLink.,https://docs.aws.amazon.com/transfer/latest/userguide/update-endpoint-type-vpc.html,'Transfer:listServers'
Transfer Logging Enabled,Transfer,Content Delivery,Ensures AWS Transfer servers have CloudWatch logging enabled.,AWS Transfer servers can log activity to CloudWatch if a proper IAM service role is provided. This role should be configured for all servers to ensure proper access logging.,Provide a valid IAM service role for AWS Transfer servers.,https://docs.aws.amazon.com/transfer/latest/userguide/monitoring.html,'Transfer:listServers'
Ledger Encrypted,QLDB,Databases,Ensure that AWS QLDB ledger is encrypted using desired encryption level,QLDB encryption at rest provides enhanced security by encrypting all ledger data at rest using encryption keys in AWS Key Management Service (AWS KMS).',Create QLDB ledger with customer-manager keys (CMKs),https://docs.aws.amazon.com/qldb/latest/developerguide/encryption-at-rest.html,"'QLDB:listLedgers','QLDB:describeLedger', 'KMS:describeKey', 'KMS:listKeys', 'STS:getCallerIdentity'"
ECR Repository Tag Immutability,ECR,Containers,Ensures ECR repository image tags cannot be overwritten,ECR repositories should be configured to prevent overwriting of image tags to avoid potentially-malicious images from being deployed to live environments.,Update ECR registry configurations to ensure image tag mutability is set to immutable.,https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-tag-mutability.html,'ECR:describeRepositories'
ECR Repository Policy,ECR,Containers,Ensures ECR repository policies do not enable global or public access to images,ECR repository policies should limit access to images to known IAM entities and AWS accounts and avoid the use of account-level wildcards.,Update the repository policy to limit access to known IAM entities.,https://docs.aws.amazon.com/AmazonECR/latest/userguide/RepositoryPolicyExamples.html,"'ECR:describeRepositories', 'ECR:getRepositoryPolicy'"
ECR Repository Encrypted,ECR,Containers,Ensure that the images in ECR repository are encrypted using desired encryption level.,"By default, Amazon ECR uses server-side encryption with Amazon S3-managed encryption keys which encrypts your data at rest using an AES-256 encryption algorithm. '",Create ECR Repository with customer-manager keys (CMKs).,https://docs.aws.amazon.com/AmazonECR/latest/userguide/Repositories.html,"'ECR:describeRepositories', 'KMS:describeKey', 'KMS:listKeys'"
DynamoDB Table Backup Exists,DynamoDB,Databases,Ensures that Amazon DynamoDB tables are using on-demand backups.,"With AWS Backup, you can configure backup policies and monitor activity for your AWS resources and on-premises workloads in one place. Using DynamoDB with AWS Backup, you can copy your on-demand backups across AWS accounts and regions, add cost allocation tags to on-demand backups, and transition on-demand backups to cold storage for lower costs.",Create on-demand backups for DynamoDB tables.,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/BackupRestore.html,"'DynamoDB:listTables', 'DynamoDB:listBackups', 'STS:getCallerIdentity'"
DynamoDB Continuous Backups,DynamoDB,Databases,Ensures that Amazon DynamoDB tables have continuous backups enabled.,DynamoDB tables should have Continuous Backups and Point-In-Time Recovery (PITR) features enabled to protect DynamoDB data against accidental data writes.,Enable Continuous Backups and Point-In-Time Recovery (PITR) features.,https://aws.amazon.com/blogs/aws/new-amazon-dynamodb-continuous-backups-and-point-in-time-recovery-pitr/,"'DynamoDB:listTables', 'DynamoDB:describeContinuousBackups', 'STS:getCallerIdentity'"
DynamoDB Accelerator Cluster Encryption,DynamoDB,Databases,Ensures DynamoDB Cluster Accelerator DAX clusters have encryption enabled.,DynamoDB Clusters Accelerator DAX clusters should have encryption at rest enabled to secure data from unauthorized access.,Enable encryption for DAX cluster.,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/DAXEncryptionAtRest.html,'DAX:describeClusters'
DynamoDB KMS Encryption,DynamoDB,Databases,Ensures DynamoDB tables are encrypted using a customer-owned KMS key.,DynamoDB tables can be encrypted using AWS-owned or customer-owned KMS keys. Customer keys should be used to ensure control over the encryption seed data.,Create a new DynamoDB table using a CMK KMS key.,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/EncryptionAtRest.html,"'DynamoDB:listTables', 'DynamoDB:describeTable', 'STS:getCallerIdentity', 'KMS:listKeys', 'KMS:describeKey'"
ECS Cluster Has Tags,ECS,Compute,Ensure that AWS ECS Clusters have tags associated.,Tags help you to group resources together that are related to or associated with each other. It is a best practice to tag cloud resources to better organize and gain visibility into their usage.,Modify ECS Cluster and add tags.,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs-using-tags.html,"'ECS:listClusters', 'ResourceGroupsTaggingAPI:getResources'"
CloudWatch Monitoring Metrics,CloudWatchLogs,Compliance,Ensures metric filters are setup for CloudWatch logs to detect security risks from CloudTrail.,"Sending CloudTrail logs to CloudWatch is only useful if metrics are setup to detect risky activity from those logs. There are numerous metrics that should be used. For the exact filter patterns, please see this plugin on GitHub: https://github.com/cloudsploit/scans/blob/master/plugins/aws/cloudwatchlogs/monitoringMetrics.js",Enable metric filters to detect malicious activity in CloudTrail logs sent to CloudWatch.,http://docs.aws.amazon.com/awscloudtrail/latest/userguide/send-cloudtrail-events-to-cloudwatch-logs.html,"'CloudTrail:describeTrails', 'CloudWatchLogs:describeMetricFilters'"
CloudWatch Log Groups Encrypted,CloudWatchLogs,Compliance,Ensure that the CloudWatch Log groups are encrypted using desired encryption level.,Log group data is always encrypted in CloudWatch Logs. You can optionally use AWS Key Management Service for this encryption. ',Ensure CloudWatch Log groups have encryption enabled with desired AWS KMS key,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/encrypt-log-data-kms.html,"'CloudWatchLogs:describeLogGroups', 'KMS:describeKey', 'KMS:listKeys'"
CloudWatch Log Retention Period,CloudWatchLogs,Compliance,Ensures that the CloudWatch Log retention period is set above a specified length of time.,Retention settings can be used to specify how long log events are kept in CloudWatch Logs. Expired log events get deleted automatically.,Ensure CloudWatch logs are retained for at least 90 days.,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/Working-with-log-groups-and-streams.html,'CloudWatchLogs:describeLogGroups'
AWS Glue DataBrew Job Output Encrypted,Glue DataBrew,Content Delivery,Ensure that AWS Glue DataBrew jobs have encryption enabled for output files with desired encryption level.,AWS Glue DataBrew jobs should have encryption enabled to encrypt S3 targets i.e. output files to meet regulatory compliance requirements within your organization.,Modify Glue DataBrew jobs to set desired encryption configuration,https://docs.aws.amazon.com/databrew/latest/dg/encryption-security-configuration.html,"'DataBrew:listJobs', 'KMS:listKeys', 'KMS:describeKey'"
WorkSpaces Volume Encryption,WorkSpaces,Identity Access and Management,Ensures volume encryption on WorkSpaces for data protection.,AWS WorkSpaces should have volume encryption enabled in order to protect data from unauthorized access.,Modify WorkSpaces to enable volume encryption,https://docs.aws.amazon.com/workspaces/latest/adminguide/encrypt-workspaces.html,"'WorkSpaces:describeWorkspaces', 'STS:getCallerIdentity', 'KMS:describeKey', 'KMS:listKeys'"
WorkSpaces Desired Bundle Type,WorkSpaces,Identity Access and Management,Ensure that AWS WorkSpaces bundles are of desired types.,A bundle in AWS WorkSpaces defines the hardware and software for AWS WorkSpaces. You can create a WorkSpaces instance using a predefined or custom bundle. Setting a limit to the types that can be used will help you control billing and address internal compliance requirements.,Ensure that WorkSpaces instances are using desired bundle types,https://docs.aws.amazon.com/workspaces/latest/adminguide/amazon-workspaces-bundles.html,"'WorkSpaces:describeWorkspaces', 'STS:getCallerIdentity'"
Workspaces IP Access Control,Workspaces,Identity Access and Management,Ensures enforced IP Access Control on Workspaces,Checking the existence of IP Access control on Workspaces and ensuring that no Workspaces are open,Enable proper IP Access Controls for all workspaces,https://docs.aws.amazon.com/workspaces/latest/adminguide/amazon-workspaces-ip-access-control-groups.html,"'WorkSpaces:describeWorkspaces', 'WorkSpaces:describeWorkspaceDirectories', 'WorkSpaces:describeIpGroups', 'STS:getCallerIdentity'"
WorkSpaces Instance Count,WorkSpaces,Identity Access and Management,Ensure that the number of Amazon WorkSpaces provisioned in your AWS account has not reached set limit.,"In order to manage your WorkSpaces compute resources efficiently and prevent unexpected charges on your AWS bill, monitor and configure limits for the maximum number of WorkSpaces instances provisioned within your AWS account.",Ensure that number of WorkSpaces created within your AWS account is within set limit,https://docs.aws.amazon.com/workspaces/latest/adminguide/workspaces-limits.html,'WorkSpaces:describeWorkspaces'
Unused WorkSpaces,WorkSpaces,Identity Access and Management,Ensure that there are no unused AWS WorkSpaces instances available within your AWS account.,An AWS WorkSpaces instance is considered unused if it has 0 known user connections registered within the past 30 days. Remove these instances to avoid unnecessary billing.,Identify and remove unused Workspaces instance,https://aws.amazon.com/workspaces/pricing/,"'WorkSpaces:describeWorkspacesConnectionStatus','STS:getCallerIdentity'"
FSx File System Encrypted,FSx,Storage,Ensure that Amazon FSx for Windows File Server file systems are encrypted using desired KMS encryption level.,"If your organization is subject to corporate or regulatory policies that require encryption of data and metadata at rest, AWS recommends creating encrypted file systems.",Enable encryption for file systems created under Amazon FSx for Windows File Server,https://docs.aws.amazon.com/fsx/latest/WindowsGuide/encryption.html,"'FSx:describeFileSystems', 'KMS:listKeys', 'KMS:describeKey'"
Pipeline Artifacts Encrypted,CodePipeline,Application Integration,Ensure that AWS CodePipeline is using desired encryption level to encrypt pipeline artifacts being stored in S3.,CodePipeline creates an S3 artifact bucket and default AWS managed key when you create a pipeline.,Ensure customer-manager keys (CMKs) are being used for CodePipeline pipeline artifacts.,https://docs.aws.amazon.com/codepipeline/latest/userguide/S3-artifact-encryption.html,"'CodePipeline:listPipelines','CodePipeline:getPipeline', 'KMS:describeKey"
ELB Logging Enabled,ELB,Content Delivery,Ensures load balancers have request logging enabled.,Logging requests to ELB endpoints is a helpful way ',Enable ELB request logging,http://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-access-logs.html,"'ELB:describeLoadBalancers', 'ELB:describeLoadBalancerAttributes', 'STS:getCallerIdentity'"
ELB No Instances,ELB,Content Delivery,Detects ELBs that have no backend instances attached,All ELBs should have backend server resources. ',Delete old ELBs that no longer have backend resources.,http://docs.aws.amazon.com/elasticloadbalancing/latest/classic/elb-backend-instances.html,"'ELB:describeLoadBalancers', 'STS:getCallerIdentity'"
ELB Connection Draining Enabled,ELB,Content Delivery,Ensures that AWS ELBs have connection draining enabled.,"Connection draining should be used to ensure that a Classic Load Balancer stops sending requests to instances that are de-registering or unhealthy, while keeping the existing connections open.",Update ELBs to enable connection draining,https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/config-conn-drain.html,"'ELB:describeLoadBalancers', 'ELB:describeLoadBalancerAttributes', 'STS:getCallerIdentity'"
Classic Load Balancers In Use,ELB,Content Delivery,Ensures that HTTP/HTTPS applications are using Application Load Balancer instead of Classic Load Balancer.,HTTP/HTTPS applications should use Application Load Balancer instead of Classic Load Balancer for cost and web traffic distribution optimization.,Detach Classic Load balancer from HTTP/HTTPS applications and attach Application Load Balancer to those applications,https://aws.amazon.com/elasticloadbalancing/features/,"'ELB:describeLoadBalancers', 'STS:getCallerIdentity'"
ELB Cross-Zone Load Balancing,ELB,Content Delivery,Ensures that AWS ELBs have cross-zone load balancing enabled.,AWS ELBs should have cross-zone load balancing enabled to distribute the traffic evenly across the registered instances in all enabled Availability Zones.,Update AWS ELB to enable cross zone load balancing,https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/enable-disable-crosszone-lb.html,"'ELB:describeLoadBalancers', 'ELB:describeLoadBalancerAttributes', 'STS:getCallerIdentity'"
Insecure Ciphers,ELB,Content Delivery,Detect use of insecure ciphers on ELBs,Various security vulnerabilities have rendered several ciphers insecure. Only the recommended ciphers should be used.,Update your ELBs to use the recommended cipher suites,http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/elb-security-policy-options.html,"'ELB:describeLoadBalancers', 'ELB:describeLoadBalancerPolicies', 'STS:getCallerIdentity'"
App-Tier ELB Security Policy,ELB,Content Delivery,Ensures that AWS App-Tier ELBs are using the latest predefined security policies.,AWS App-Tier ELBs should use the latest predefined security policies to secure the connection between client and ELB.,Update App-Tier ELB reference security policy to latest predefined security policy to secure the connection between client and ELB,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html,"'ELB:describeLoadBalancers', 'ELB:describeLoadBalancerPolicies', 'ELB:describeTags', 'STS:getCallerIdentity'"
ELB HTTPS Only,ELB,Content Delivery,Ensures ELBs are configured to only accept',"For maximum security, ELBs can be configured to only",Remove non-HTTPS listeners from load balancer.,http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/elb-security-policy-options.html,"'ELB:describeLoadBalancers', 'STS:getCallerIdentity'"
SQS Cross Account Access,SQS,Application Integration,Ensures SQS policies disallow cross-account access,SQS policies should be carefully restricted to prevent publishing or reading from the queue from unexpected sources. Queue policies can be used to limit these privileges.,Update the SQS policy to prevent access from external accounts.,http://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-creating-custom-policies.html,"'SQS:listQueues', 'SQS:getQueueAttributes', 'STS:getCallerIdentity', 'Organizations:listAccounts'"
SQS Encryption Enabled,SQS,Application Integration,Ensure SQS queues are encrypted using keys of desired encryption level,Messages sent to SQS queues can be encrypted using KMS server-side encryption. Existing queues can be modified to add encryption with minimal overhead.,Enable encryption using KMS Customer Master Keys (CMKs) for all SQS queues.,http://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-server-side-encryption.html,"'SQS:listQueues', 'SQS:getQueueAttributes', 'KMS:listAliases', 'KMS:listKeys"
SQS Queue Unprocessed Messages,SQS,Application Integration,Ensures that Amazon SQS queue has not reached unprocessed messages limit.,Amazon SQS queues should have unprocessed messages less than the limit to be highly available and responsive.,Set up appropriate message polling time and set up dead letter queue for Amazon SQS queue to handle messages in time,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/working-with-messages.html,"'SQS:listQueues', 'SQS:getQueueAttributes', 'STS:getCallerIdentity'"
SQS Public Access,SQS,Application Integration,Ensures that SQS queues are not publicly accessible,SQS queues should be not be publicly accessible to prevent unauthorized actions.,Update the SQS queue policy to prevent public access.,http://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-creating-custom-policies.html,"'SQS:listQueues', 'SQS:getQueueAttributes', 'STS:getCallerIdentity'"
SQS Encrypted,SQS,Application Integration,Ensures SQS encryption is enabled,Messages sent to SQS queues can be encrypted using KMS server-side encryption. Existing queues can be modified to add encryption with minimal overhead.,Enable encryption using KMS for all SQS queues.,http://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-server-side-encryption.html,"'SQS:listQueues', 'SQS:getQueueAttributes', 'KMS:listKeys', 'KMS:describeKey'"
SQS Dead Letter Queue,SQS,Application Integration,Ensures that each Amazon SQS queue has Dead Letter Queue configured.,Amazon SQS queues should have dead letter queue configured to avoid data loss for unprocessed messages.,Update Amazon SQS queue and configure dead letter queue.,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-dead-letter-queues.html,"'SQS:listQueues', 'SQS:getQueueAttributes', 'STS:getCallerIdentity'"
App Mesh Restrict External Traffic,App Mesh,Content Delivery,Ensure that Amazon App Mesh virtual nodes have egress only access to other defined resources available within the service mesh.,Amazon App Mesh gives you controls to choose whether or not to allow App Mesh services to communicate with outside world. ',Deny all traffic to the external services,https://docs.aws.amazon.com/app-mesh/latest/userguide/security.html,"'AppMesh:listMeshes', 'AppMesh:describeMesh'"
App Mesh TLS Required,App Mesh,Content Delivery,Ensure that AWS App Mesh virtual gateway listeners only accepts TLS enabled connections.,"In App Mesh, Transport Layer Security (TLS) encrypts communication between the envoy proxies deployed on compute resources that are represented in App Mesh by mesh endpoints, such as Virtual nodes and Virtual gateways.",Restrict AWS App Mesh virtual gateway listeners to accept only TLS enabled connections.,https://docs.aws.amazon.com/app-mesh/latest/APIReference/API_ListenerTls.html,"'AppMesh:listMeshes', 'AppMesh:listVirtualGateways', 'AppMesh:describeVirtualGateway'"
App Mesh VG Access Logging,App Mesh,Content Delivery,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,"Enabling access logging feature for App Mesh virtual gateways lets you track application mesh user access, helps you meet compliance regulations, and gives insight into security audits and investigations. ","To enable access logging, modify virtual gateway configuration settings and configure the file path to write access logs to.",https://docs.aws.amazon.com/app-mesh/latest/userguide/envoy-logs.html,"'AppMesh:listMeshes', 'AppMesh:listVirtualGateways', 'AppMesh:describeVirtualGateway'"
Redshift Cluster Default Port,Redshift,Databases,"Ensures that Amazon Redshift clusters are not using port ""5439"" (default port) for database access.",Amazon Redshift clusters should not use the default port for database access to ensure cluster security.,Update Amazon Redshift cluster endpoint port.,https://docs.amazonaws.cn/en_us/redshift/latest/gsg/rs-gsg-launch-sample-cluster.html,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift Nodes Count,Redshift,Databases,Ensures that each AWS region has not reached the limit set for the number of Redshift cluster nodes.,The number of provisioned Amazon Redshift cluster nodes must be less than the provided nodes limit to avoid reaching the limit and exceeding the set budget.,Remove Redshift clusters over defined limit,https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-clusters.html#working-with-clusters-overview,'Redshift:describeClusters'
Redshift Cluster Allow Version Upgrade,Redshift,Databases,Ensure that version upgrade is enabled for Redshift clusters to automatically receive upgrades during the maintenance window.,"Redshift clusters should be configured to allow version upgrades to get the newest features, bug fixes or the latest security patches released.",Modify Redshift clusters to allow version upgrade,https://docs.amazonaws.cn/en_us/redshift/latest/mgmt/redshift-mgmt.pdf,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift User Activity Logging Enabled,Redshift,Databases,Ensure that user activity logging is enabled for your Amazon Redshift clusters.,Redshift clusters associated parameter groups should have user activity logging enabled in order to log user activities performed.,Update Redshift parameter groups to enable user activity logging,https://docs.aws.amazon.com/redshift/latest/mgmt/db-auditing.html#db-auditing-enable-logging,"'Redshift:describeClusters', 'Redshift:describeClusterParameterGroups', 'Redshift:describeClusterParameters', 'STS:getCallerIdentity'"
Redshift Encryption Enabled,Redshift,Databases,Ensures at-rest encryption is setup for Redshift clusters,AWS provides at-read encryption for Redshift clusters which should be enabled to ensure the integrity of data stored within the cluster.,"Redshift does not currently allow modifications to encryption after the cluster has been launched, so a new cluster will need to be created with encryption enabled.",http://docs.aws.amazon.com/redshift/latest/mgmt/working-with-db-encryption.html,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift Cluster Audit Logging Enabled,Redshift,Databases,Ensure audit logging is enabled for Redshift clusters for security and troubleshooting purposes.,Redshift clusters should be configured to enable audit logging to log cluster usage information.,Modify Redshift clusters to enable audit logging,https://docs.aws.amazon.com/redshift/latest/mgmt/db-auditing-console.html,"'Redshift:describeClusters', 'Redshift:describeLoggingStatus', 'STS:getCallerIdentity'"
Redshift Publicly Accessible,Redshift,Databases,Ensures Redshift clusters are not launched into the public cloud,"Unless there is a specific business requirement, Redshift clusters should not have a public endpoint and should be accessed from within a VPC only.",Remove the public endpoint from the Redshift cluster,http://docs.aws.amazon.com/redshift/latest/mgmt/getting-started-cluster-in-vpc.html,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift Cluster Default Master Username,Redshift,Databases,"Ensures that Amazon Redshift clusters are not using ""awsuser"" (default master username) for database access.",Amazon Redshift clusters should not use default master username for database access to ensure cluster security.,Update Amazon Redshift cluster master username.,https://docs.amazonaws.cn/en_us/redshift/latest/gsg/rs-gsg-launch-sample-cluster.html,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift Parameter Group SSL Required,Redshift,Databases,Ensures AWS Redshift non-default parameter group associated with Redshift cluster require SSL connection.,Redshift parameter group associated with Redshift cluster should be configured to require SSL to secure data in transit.,Update Redshift parameter groups to have require-ssl parameter set to true.,https://docs.aws.amazon.com/redshift/latest/mgmt/connecting-ssl-support.html,"'Redshift:describeClusters', 'Redshift:describeClusterParameterGroups', 'Redshift:describeClusterParameters', 'STS:getCallerIdentity'"
Redshift Unused Reserved Nodes,Redshift,Databases,Ensures that Amazon Redshift Reserved Nodes are being utilized.,Amazon Redshift reserved nodes must be utilized to avoid unnecessary billing.,Provision new Redshift clusters matching the criteria of reserved nodes,https://docs.aws.amazon.com/redshift/latest/mgmt/purchase-reserved-node-instance.html,"'Redshift:describeClusters', 'Redshift:describeReservedNodes', 'STS:getCallerIdentity'"
Redshift Automated Snapshot Retention Period,Redshift,Databases,Ensures that retention period is set for Amazon Redshift automated snapshots.,Amazon Redshift clusters should have retention period set for automated snapshots for data protection and to avoid unexpected failures.,Modify Amazon Redshift cluster to set snapshot retention period,https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-snapshots.html,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift Cluster CMK Encryption,Redshift,Databases,Ensures Redshift clusters are encrypted using KMS customer master keys (CMKs),KMS CMKs should be used to encrypt redshift clusters in order to have full control over data encryption and decryption.,Update Redshift clusters encryption configuration to use KMS CMKs instead of AWS managed-keys.,http://docs.aws.amazon.com/redshift/latest/mgmt/working-with-db-encryption.html,"'Redshift:describeClusters', 'KMS:listAliases', 'STS:getCallerIdentity'"
Redshift Cluster In VPC,Redshift,Databases,Ensures that Amazon Redshift clusters are launched within a Virtual Private Cloud (VPC).,Amazon Redshift clusters should be launched within a Virtual Private Cloud (VPC) to ensure cluster security.,Update Amazon Redshift cluster and attach it to VPC,https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-clusters.html#cluster-platforms,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
Redshift Desired Node Type,Redshift,Databases,Ensures that Amazon Redshift cluster nodes are of given types.,Amazon Redshift clusters nodes should be of the given types to ensure the internal compliance and prevent unexpected billing charges.,Take snapshot of the Amazon Redshift cluster and launch a new cluster of the desired node type using the snapshot.,https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-clusters.html#working-with-clusters-overview,"'Redshift:describeClusters', 'STS:getCallerIdentity'"
AppFlow Flow Encrypted,AppFlow,Application Integration,Ensure that your Amazon AppFlow flows are encrypted with desired encryption level.,"Amazon AppFlow encrypts your access tokens, secret keys, and data in transit and data at rest with AWS-manager keys by default. '",Create AppFlow flows with customer-manager keys (CMKs).,https://docs.aws.amazon.com/appflow/latest/userguide/data-protection.html,"'Appflow:listFlows', 'Appflow:describeFlow', 'KMS:listKeys', 'KMS:describeKey'"
CloudTrail Bucket Access Logging,S3,Compliance,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,"CloudTrail buckets should utilize access logging for an additional layer of auditing. If the log files are deleted or modified in any way, the additional access logs can help determine who made the changes.",Enable access logging on the CloudTrail bucket from the S3 console,http://docs.aws.amazon.com/AmazonS3/latest/UG/ManagingBucketLogging.html,"'CloudTrail:describeTrails', 'S3:getBucketLogging', 'S3:listBuckets'"
CloudTrail File Validation,CloudTrail,Compliance,Ensures CloudTrail file validation is enabled for all regions within an account,CloudTrail file validation is essentially a hash of the file which can be used to ensure its integrity in the case of an account compromise.,Enable CloudTrail file validation for all regions,http://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-log-file-validation-enabling.html,'CloudTrail:describeTrails'
CloudTrail Delivery Failing,CloudTrail,Compliance,Ensures that Amazon CloudTrail trail log files are delivered to destination S3 bucket.,Amazon CloudTrail trail logs should be delivered to destination S3 bucket to be used for security audits.,Modify CloudTrail trail configurations so that logs are being delivered,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/how-cloudtrail-works.html,"'CloudTrail:describeTrails', 'CloudTrail:getTrailStatus'"
CloudTrail Management Events,CloudTrail,Compliance,Ensures that AWS CloudTrail trails are configured to log management events.,AWS CloudTrail trails should be configured to log management events to record management operations that are performed on resources in your AWS account.,Update CloudTrail to enable management events logging,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/logging-management-events-with-cloudtrail.html,"'CloudTrail:describeTrails', 'CloudTrail:getEventSelectors'"
CloudTrail Notifications Enabled,CloudTrail,Compliance,Ensure that Amazon CloudTrail trails are using active Simple Notification Service (SNS) topics to deliver notifications.,"CloudTrail trails should reference active SNS topics to notify for log files delivery to S3 buckets. Otherwise, you will lose the ability to take immediate actions based on log information.",Make sure that CloudTrail trails are using active SNS topics and that SNS topics have not been deleted after trail creation.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/configure-sns-notifications-for-cloudtrail.html,"'CloudTrail:describeTrails', 'SNS:listTopics', 'SNS:getTopicAttributes'"
Object Lock Enabled,CloudTrail,Compliance,Ensures that AWS CloudTrail S3 buckets use Object Lock for data protection and regulatory compliance.,CloudTrail buckets should be configured to have object lock enabled. You can use it to prevent an object from being deleted or overwritten for a fixed amount of time or indefinitely.,Edit trail to use a bucket with object locking enabled.,https://docs.aws.amazon.com/AmazonS3/latest/dev/object-lock-managing.html,"'CloudTrail:describeTrails', 'S3:getObjectLockConfiguration', 'S3:listBuckets'"
CloudTrail Bucket Private,S3,Compliance,Ensures CloudTrail logging bucket is not publicly accessible,CloudTrail buckets contain large amounts of sensitive account data and should only be accessible by logged in users.,Set the S3 bucket access policy for all CloudTrail buckets to only allow known users to access its files.,http://docs.aws.amazon.com/AmazonS3/latest/dev/example-bucket-policies.html,"'CloudTrail:describeTrails', 'S3:getBucketAcl', 'S3:listBuckets'"
CloudTrail Enabled,CloudTrail,Compliance,Ensures CloudTrail is enabled for all regions within an account,CloudTrail should be enabled for all regions in order to detect suspicious activity in regions that are not typically used.,Enable CloudTrail for all regions and ensure that at least one region monitors global service events,http://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-getting-started.html,"'CloudTrail:describeTrails', 'CloudTrail:getTrailStatus'"
CloudTrail Data Events,CloudTrail,Compliance,Ensure Data events are included into Amazon CloudTrail trails configuration.,AWS CloudTrail trails should be configured to enable Data Events in order to log S3 object-level API operations.,Update CloudTrail to enable data events.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/logging-data-events-with-cloudtrail.html,"'CloudTrail:describeTrails', 'CloudTrail:getEventSelectors'"
CloudTrail Encryption,CloudTrail,Compliance,Ensures CloudTrail encryption at rest is enabled for logs,CloudTrail log files contain sensitive information about an account and should be encrypted at rest for additional protection.,Enable CloudTrail log encryption through the CloudTrail console or API,http://docs.aws.amazon.com/awscloudtrail/latest/userguide/encrypting-cloudtrail-log-files-with-aws-kms.html,'CloudTrail:describeTrails'
